,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
486,0,0,0,1,340,0,0,0,0,roland,roland sh-01a + teclado k-25m ,dce,Sevilla,25/10/2022,23/12/2022,1/11/2022,124,300
487,0,0,0,1,85,0,0,0,0,doepfer,vcf doepfer a 106 1 xtreme filter ,Mato-Hari,Pontevedra,23/09/2022,30/11/2022,1/11/2022,160,834
488,0,0,0,1,880,0,0,0,0,elektron,elektron analog keys ,ddg,Barcelona,28/10/2022,27/12/2022,1/11/2022,78,303
489,0,0,0,1,299,0,0,0,0,novation,novation a station rack ,ldu,Madrid,18/10/2022,18/12/2022,1/11/2022,188,325
490,0,0,0,1,40,0,0,0,0,arturia,arturia microlab ,pauloski,Gipuzkoa,23/06/2022,04/12/2022,1/11/2022,417,872
491,0,0,0,1,65,0,0,0,0,roland,roland m-265e memory card ,tukutra,Madrid,22/11/2021,12/12/2022,1/11/2022,235,784
492,0,0,0,1,150,0,0,0,0,yamaha,yamaha rm50 ry30 rack ,CHOSKY_17,Valladolid,16/09/2022,15/11/2022,1/11/2022,257,664
493,0,0,0,1,55,0,0,0,0,novation,novation remote 25 ,bioroide,Madrid,11/10/2022,27/11/2022,1/11/2022,220,845
494,0,0,0,1,1200,0,0,0,0,korg,korg ms20 mk1 ,basictonal,Baleares,04/09/2022,01/12/2022,1/11/2022,506,1056
495,0,0,0,1,339,0,0,0,0,uno,uno synth pro desktop + accesorios ,moog1406,Girona,18/05/2022,02/12/2022,1/11/2022,652,637
496,0,0,1,0,0,0,1,0,0,-,alguno de estos sintes y caja de ritmo ,moog1406,Girona,10/04/2022,26/11/2022,1/11/2022,3263,637
497,0,0,0,1,750,0,0,0,0,-,asm hydrasynth ,Oliver Mckendrick-Ness,Barcelona,11/09/2022,10/11/2022,1/11/2022,611,2130
498,0,0,0,1,20,0,0,0,0,korg,diskette sonidos para el sampler korg dsm1 ,polypodium,Madrid,07/07/2022,09/11/2022,1/11/2022,332,1106
499,0,0,0,1,599,0,0,0,0,kawai,piano digital kawai mp 9500 ,girocopernicano,Barcelona,02/10/2022,01/12/2022,1/11/2022,240,1602
500,0,0,0,1,360,0,0,0,0,-,keystep pro black sequencer ,Traupiano,Barcelona,29/10/2022,28/12/2022,1/11/2022,188,947
501,0,0,0,1,22,0,0,0,0,roland,sonidos roland jupiter x xm series y zenology pro software ,JM72,Pontevedra,15/07/2022,29/11/2022,1/11/2022,693,256
502,0,0,0,1,350,0,0,0,0,emu,emu proteus 2000 ,jasynth,Madrid,30/09/2022,28/11/2022,1/11/2022,590,769
503,0,0,0,1,1150,0,0,0,0,roland,roland jx-3p + pg200 ,moog1406,Girona,01/06/2022,18/11/2022,1/11/2022,604,637
504,0,0,0,1,3500,0,0,0,0,electronic,wulitzer piano electronic model 145b ,RAMON,Barcelona,01/11/2022,30/12/2022,1/11/2022,146,381
505,0,0,0,1,220,0,0,0,0,mutant,módulos mutant hihats & mutant bassdrum ,Borsek,Navarra,21/02/2021,24/11/2022,1/11/2022,1052,614
506,0,0,0,1,55,0,0,0,0,midi,midi controller playtron ,yan demir,Madrid,02/03/2022,01/11/2022,1/11/2022,511,889
507,0,0,0,1,2500,0,0,0,0,korg,korg oasys 88 con hard case ,japovaz,Ourense,25/10/2022,28/11/2022,1/11/2022,194,763
